dataset,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
pathmnist,S1,baseline,10,0.9415041782729804,0.9957147552958168,0.0438426724134381,0.2060716599225998,12.042726462394684,0.9594
pathmnist,S1,maxprob,10,0.9428969359331476,0.995838901957628,0.0365484503069295,0.1990889459848404,12.042726462394684,0.9594
pathmnist,S1,entropy,10,0.9431754874651812,0.9959447008225872,0.0324453084000637,0.195035234093666,12.042726462394684,0.9594
pathmnist,S1,variance,10,0.943732590529248,0.9959224488565792,0.0316350033148749,0.1953403502702713,12.042726462394684,0.9594
pathmnist,S1,variance_inv,10,0.9399721448467968,0.995418866369446,0.0637071054127887,0.2267394512891769,12.042726462394684,0.9594
pathmnist,S1,mc_dropout,T=20,0.9334261838440112,0.9961394212997324,0.010416197606614,0.1999502182006836,10.176162869080487,0.9594
pathmnist,S1,ts_only,1,0.9341225626740948,0.9961358571022588,0.0143822223757468,0.2028684467077255,0.4567410306402136,0.9594
pathmnist,S1,ts_entropy,10,0.9435933147632312,0.995900026659548,0.0298599148361131,0.1945209205150604,12.042726462394684,0.9594
dermamnist,S2,baseline,10,0.8334164588528679,0.9633574822361156,0.0710060851978244,0.5594243407249451,9.28580613466162,1.3861
dermamnist,S2,maxprob,10,0.8339152119700748,0.9634944956466848,0.078343741495413,0.5679476857185364,9.28580613466162,1.3861
dermamnist,S2,entropy,10,0.8339152119700748,0.9635664628122614,0.0820036897635519,0.575631856918335,9.28580613466162,1.3861
dermamnist,S2,variance,10,0.8339152119700748,0.963610690424897,0.0837084021502896,0.5767163038253784,9.28580613466162,1.3861
dermamnist,S2,variance_inv,10,0.8329177057356608,0.962766440804074,0.0543813873853469,0.5494328141212463,9.28580613466162,1.3861
dermamnist,S2,mc_dropout,T=20,0.827930174563591,0.9583529812833752,0.1114252737335433,0.7265105247497559,9.886697406483265,1.3861
dermamnist,S2,ts_only,1,0.828428927680798,0.958077280776806,0.0881046708087968,0.5931107401847839,0.5375974563577798,1.3861
dermamnist,S2,ts_entropy,10,0.8334164588528679,0.964273982679828,0.0626141691148429,0.5084865689277649,9.28580613466162,1.3861
pneumoniamnist,S5,baseline,10,0.8605769230769231,0.9782380013149244,0.0860005173927698,0.4745972454547882,24.495133173052004,1.2209
pneumoniamnist,S5,maxprob,10,0.8605769230769231,0.9783694937541092,0.0879749314716228,0.4820122420787811,24.495133173052004,1.2209
pneumoniamnist,S5,entropy,10,0.8621794871794872,0.9786160420775806,0.0855753471453984,0.488882452249527,24.495133173052004,1.2209
pneumoniamnist,S5,variance,10,0.8573717948717948,0.9789831251369712,0.0986839105876592,0.5192679762840271,24.495133173052004,1.2209
pneumoniamnist,S5,variance_inv,10,0.8637820512820513,0.9767367959675652,0.0904229590908074,0.4715959131717682,24.495133173052004,1.2209
pneumoniamnist,S5,mc_dropout,T=20,0.8733974358974359,0.9717893929432392,0.1052395723378047,0.5956251621246338,47.25971490384276,1.2209
pneumoniamnist,S5,ts_only,1,0.8733974358974359,0.9718606180144642,0.0961201785084529,0.5048254728317261,2.3397703525682654,1.2209
pneumoniamnist,S5,ts_entropy,10,0.8605769230769231,0.979257067718606,0.0845254729382502,0.4400694370269775,24.495133173052004,1.2209
breastmnist,S3,baseline,10,0.8846153846153846,0.9133249791144528,0.0336299194739415,0.310323566198349,60.990391025641,1.0721
breastmnist,S3,maxprob,10,0.8910256410256411,0.9158312447786132,0.0357263481769806,0.3081153631210327,60.990391025641,1.0721
breastmnist,S3,entropy,10,0.8910256410256411,0.9179197994987468,0.0392607190670111,0.3088757991790771,60.990391025641,1.0721
breastmnist,S3,variance,10,0.8974358974358975,0.921470342522974,0.0571822802989911,0.3106496632099151,60.990391025641,1.0721
breastmnist,S3,variance_inv,10,0.8333333333333334,0.887218045112782,0.0484854827324549,0.375613272190094,60.990391025641,1.0721
breastmnist,S3,mc_dropout,T=20,0.8653846153846154,0.9147869674185464,0.0487991368923431,0.3224930465221405,117.12401255128208,1.0721
breastmnist,S3,ts_only,1,0.8653846153846154,0.914578111946533,0.0451588412890067,0.3192798793315887,6.913444442307656,1.0721
breastmnist,S3,ts_entropy,10,0.8910256410256411,0.9187552213868004,0.0346980797938811,0.3067280650138855,60.990391025641,1.0721
bloodmnist,S1,baseline,10,0.9830458930137388,0.999051926179914,0.0091708140026857,0.0687297582626342,11.959538292898037,1.0592
bloodmnist,S1,maxprob,10,0.9830458930137388,0.999053758180015,0.0067335806353612,0.0671963915228843,11.959538292898037,1.0592
bloodmnist,S1,entropy,10,0.983338205203157,0.9990395276513327,0.0052351533007601,0.0662781819701194,11.959538292898037,1.0592
bloodmnist,S1,variance,10,0.983338205203157,0.9990460370667192,0.0052751765565473,0.0664671659469604,11.959538292898037,1.0592
bloodmnist,S1,variance_inv,10,0.983338205203157,0.9990442740443322,0.0166161071484077,0.074418231844902,11.959538292898037,1.0592
bloodmnist,S1,mc_dropout,T=20,0.9818766442560656,0.998918702098438,0.0116889300627932,0.0715796127915382,9.52798149663908,1.0592
bloodmnist,S1,ts_only,1,0.9821689564454836,0.998917296979426,0.0099024032246679,0.0699514374136924,0.7072038000594131,1.0592
bloodmnist,S1,ts_entropy,10,0.983338205203157,0.9990337051948028,0.0054766668523483,0.065450981259346,11.959538292898037,1.0592
organamnist,S4,baseline,10,0.9479131510856116,0.9956788835746953,0.0548164839567678,0.2454875111579895,6.4982319060636575,1.073
organamnist,S4,maxprob,10,0.948025649679379,0.9955921381956572,0.0505025143855494,0.2444707006216049,6.4982319060636575,1.073
organamnist,S4,entropy,10,0.9479131510856116,0.9955714077088436,0.0461815951668863,0.2433339059352874,6.4982319060636575,1.073
organamnist,S4,variance,10,0.947800652491844,0.9955678667091348,0.0476073239370384,0.2443807870149612,6.4982319060636575,1.073
organamnist,S4,variance_inv,10,0.9475756553043088,0.9957373762063424,0.0727369593902089,0.2550548017024994,6.4982319060636575,1.073
organamnist,S4,mc_dropout,T=20,0.9473506581167735,0.9977201768241712,0.0354288052803137,0.2372556328773498,8.03179491928228,1.073
organamnist,S4,ts_only,1,0.9474069074136572,0.9977218436281464,0.0343488193239561,0.2284828126430511,0.4055980630554639,1.073
organamnist,S4,ts_entropy,10,0.9479694003824952,0.9956875532069048,0.0462753954503275,0.2384101748466491,6.4982319060636575,1.073
