dataset,strategy,removed,accuracy,ece,nll,d_acc_pp,d_ece
organamnist,variance,(none/full),0.9530318371020362,0.042463520881040454,0.21136003732681274,0.0,0.0
organamnist,variance,hflip,0.9518506018674766,0.046192843417963605,0.22416052222251892,-0.118,0.0037
organamnist,variance,rotate,0.9533693328833389,0.045837306625288635,0.21947874128818512,0.034,0.0034
organamnist,variance,brightness,0.9529755878051525,0.04666062305897346,0.21727846562862396,-0.006,0.0042
organamnist,variance,gaussian_noise,0.9530880863989201,0.04777465075747289,0.2164669632911682,0.006,0.0053
organamnist,variance,center_crop,0.9517943525705929,0.04577612346491889,0.2217720001935959,-0.124,0.0033
organamnist,variance,contrast,0.9527505906176172,0.04817167971027973,0.21692639589309692,-0.028,0.0057
organamnist,variance,sharpness,0.9528630892113849,0.04806184317233095,0.21694226562976837,-0.017,0.0056
organamnist,variance,vflip,0.9542693216334796,0.018227331302594872,0.15794943273067474,0.124,-0.0242
organamnist,variance,color_jitter,0.9530880863989201,0.04669107890347683,0.216579869389534,0.006,0.0042
organamnist,variance,elastic,0.9525255934300821,0.04636710425881782,0.21835482120513916,-0.051,0.0039
